company,state,ticker,exchange,profit,debt,assets,ipo_date,ipo_fees,ipo_price,ipo_amount,industry
Gogo Inc,Illinois,GOGO,Nasdaq,17.6,239,419.2,23/12/2011,11.186,17,187,Communications
Tremor Video Inc,New York,TRMR,New York,-6.9,0.9,120.5,23/05/2013,10.755,10,75,Media
UCP Inc,California,UCP,New York,0,44.9,153.7,4/04/2013,9.14,15,116.25,Services
Physicians Realty Trust,Wisconsin,DOC,New York,6.1,66.3,106.3,24/05/2013,7.565,11.5,119.999993,Finance
Agios Pharmaceuticals Inc,Massachusetts,AGIO,Nasdaq,-25.8,0,108.5,10/06/2013,7.974,18,105.999984,Chemical
Cellular Dynamics International Inc,Wisconsin,ICEL,Nasdaq,0,11.8,52.6,3/06/2013,11.661,12,46.152,Chemical
WCI Communities Inc,Florida,WCIC,New York,37.2,200,367.4,26/04/2013,10.689,15,102.286365,Services
Athlon Energy Inc,Texas,ATHL,New York,145.4,500,1024.2,30/04/2013,6.166,20,315.78948,Oil
Intrexon Corp,Maryland,XON,New York,-93.2,2.3,283.5,9/07/2013,7.609,16,159.999984,Agriculture
Axogen Inc,Florida,AXGN,Nasdaq,-8.5,24.3,15.7,14/05/2013,9.81,3,18,Agriculture
Cvent Inc,Virginia,CVT,New York,0,0,90.4,6/11/2012,8.712,21,117.6,IT
QEP Midstream Partners LP,Colorado,QEPM,New York,106.4,0,706.1,7/01/2013,5.839,21,420,Oil
Envision Healthcare Holdings Inc,Colorado,EVHC,New York,408.6,2225.4,4040.2,13/06/2013,5.251,23,966,Health
Regado Biosciences Inc,New Jersey,RGDO,Nasdaq,-13.1,3.9,25.8,29/04/2013,11.267,4,43,Chemical
Benefitfocus Inc,South Carolina,BNFT,Nasdaq,-11.9,15.3,54.8,20/03/2013,8.296,26.5,130.7775,IT
Rocket Fuel Inc,California,FUEL,Nasdaq,-14.2,10.6,99.8,13/02/2013,9.731,29,116,Media
Applied Optoelectronics Inc,Texas,AAOI,Nasdaq,2.7,14.6,72,13/08/2013,12.609,10,36,Machinery
Covisint Corp,Michigan,COVS,Nasdaq,0,0,96,10/06/2012,10.125,10,64,IT
Violin Memory Inc,California,VMEM,New York,-110.3,0,112.9,22/02/2012,9.438,9,162,IT
QTS Realty Trust Inc,Kansas,QTS,New York,63.7,344.8,781.9,16/08/2013,7.328,21,257.25,Finance
Antero Resources Corp,Colorado,AR,New York,741.9,2079,5672.2,6/05/2013,4.19,44,1571.9,Oil
MacroGenics Inc,Maryland,MGNX,Nasdaq,0,8,42,4/09/2013,8.043,16,80,Chemical
InterCloud Systems Inc,New Jersey,ICLD,Nasdaq,3.8,15.2,58.5,5/12/2012,44.348,4,5,Consulting
Twitter Inc,California,TWTR,New York,0,110.5,992.8,3/03/2011,2.26,26,1820,IT
Chegg Inc,California,CHGG,New York,0,0,229.3,12/06/2013,9.027,12.5,187.5,IT
Ideal Power Inc,Texas,IPWR,Nasdaq,-3.9,0,2.8,6/08/2013,11.887,5,15,Energy
Fidelity & Guaranty Life,Maryland,FGL,New York,707.3,300,22202.8,29/08/2013,8.781,17,165.75,Finance
Retrophin Inc,California,RTRX,Nasdaq,-33.5,0,20.5,18/12/2013,8.571,8.5,39.999997,Chemical
EP Energy Corp,Texas,EPE,New York,1038,4020,8366,24/06/2013,5.636,20,704,Oil
Santander Consumer USA Holdings Inc,Texas,SC,New York,1703.9,25357.3,26204.9,22/11/2012,3.816,24,1799.79528,Finance
SMTP Inc,Massachusetts,SMTP,Nasdaq,2,0,2.4,26/12/2013,6.959,6.25,10,Media
Everyday Health Inc,New York,EVDY,New York,12,70.8,192.3,24/02/2014,9.573,14,100.1,Consulting
CBS Outdoor Americas Inc,New York,CBSO,New York,433.4,1598,3355.5,27/06/2013,4.869,28,560,Media
The Rubicon Project Inc,California,RUBI,New York,0,0,127.7,30/01/2013,8.979,15,101.564925,IT
GrubHub Inc,Illinois,GRUB,New York,40.5,0,795.7,9/11/2012,7.912,26,192.545964,IT
La Quinta Holdings Inc,Texas,LQ,New York,339.5,1988.7,3172,10/02/2014,6.245,17,650.25,Services
Ally Financial Inc,Michigan,ALLY,New York,5396,60915,146534,3/08/2010,1.027,25,2375,Finance
Sysorex Global Holdings Corp,California,SYRX,Nasdaq,-2.2,0.2,42.3,9/10/2013,8,6,19.999998,IT
Paycom Software Inc,Oklahoma,PAYC,New York,14.6,26.5,532.2,10/03/2014,10.942,15,99.675,IT
Moelis & Co,New York,MC,New York,0,0,349.1,22/10/2013,13.421,25,162.5,Finance
WL Ross Holding Corp,New York,WLRHU,Nasdaq,0,0,0.2,9/05/2014,4.578,10,435,Finance
SAGE Therapeutics Inc,Massachusetts,SAGE,Nasdaq,-22.2,0,51.7,17/06/2014,8.251,18,90,Chemical
Intersect ENT Inc,California,XENT,Nasdaq,0,0,14.5,23/06/2014,10.83,11,55,Health
Spark Energy Inc,Texas,SPKE,Nasdaq,39.3,0,86.5,29/05/2014,13.481,18,54,Energy
HealthEquity Inc,Utah,HQY,Nasdaq,11.8,0,55.9,10/06/2014,8.928,14,127.4,Finance
FCB Financial Holdings Inc,Florida,,New York,43.5,1159.1,5606.3,20/06/2014,8.535,22,165.44,Finance
T2 Biosystems Inc,Massachusetts,TTOO,Nasdaq,-24.3,10.7,20.1,2/07/2014,9.918,11,57.2,Health
Ryerson Holding Corp,Illinois,RYI,New York,0,1198.1,1907.9,22/01/2010,8.479,11,121,Metal
Sajan Inc,Wisconsin,SAJA,Nasdaq,0.7,0.8,9.6,8/05/2014,22.429,5,3.5,Consulting
Tokai Pharmaceuticals Inc,Massachusetts,TKAI,Nasdaq,-19.6,0,23.4,11/08/2014,9.054,15,97.2,Chemical
GWG Holdings Inc,Minnesota,GWGH,Nasdaq,0,274,296.6,25/04/2014,12.75,12.5,10,Finance
Citizens Financial Group Inc,Rhode Island,CFG,New York,1355,2062,130279,23/02/2013,2.009,21.5,3010,Finance
Medley Management Inc,New York,MDLY,New York,66,102.9,626.4,18/08/2014,10.058,18,108,Finance
Calithera Biosciences Inc,California,CALA,Nasdaq,-18.6,0,39.6,25/08/2014,10.375,10,80,Chemical
Proteon Therapeutics Inc,Massachusetts,PRTO,Nasdaq,-8.2,0,27.1,16/09/2014,10.71,10,61.1,Agriculture
Sientra Inc,California,SIEN,Nasdaq,-3.7,21.7,62.3,19/09/2014,9.565,15,75,Health
Upland Software Inc,Texas,UPLD,Nasdaq,-11.7,12.4,95,4/09/2014,14.183,12,46.153848,IT
Coherus Biosciences Inc,California,CHRS,Nasdaq,-65,0,129.2,25/09/2014,10.724,13.5,85.00005,Agriculture
The Joint Corp,Arizona,JYNT,Nasdaq,-0.5,0,8.5,19/09/2014,9.366,6.5,19.5,Finance
FibroGen Inc,California,FGEN,Nasdaq,-20.4,113.3,344.4,30/09/2014,8.358,18,145.8,Chemical
Neff Corp,Florida,NEFF,New York,131.7,721.9,606.7,3/09/2014,7.045,15,157.14285,Machinery
Peak Resorts Inc,Missouri,SKIS,Nasdaq,26.1,100.1,216.5,20/10/2014,8.525,9,90,Services
LendingClub Corp,California,LC,New York,303.2,2813.6,2814.8,13/12/2012,5.608,15,870,Finance
Connecture Inc,Wisconsin,CNXR,Nasdaq,-3.9,48.6,87.5,20/10/2014,14.564,8,53.08,IT
PlasmaTech Biopharmaceuticals Inc,Texas,ACCP,Nasdaq,0,0,0.3,2/07/2014,10.279,4,14,Chemical
Avinger Inc,California,AVGR,Nasdaq,-24.5,25.8,24.8,30/12/2014,12.492,13,65,Health
GoDaddy Inc,Arizona,GDDY,New York,107.9,1044.3,3329.4,14/03/2014,8.077,20,460,IT
Virtu Financial Inc,New York,VIRT,Nasdaq,336.2,1369.5,4099.5,18/12/2013,9.815,19,314.113168,Finance
Jaguar Animal Health Inc,California,JAGX,Nasdaq,0,0,6.2,27/08/2014,23.484,7,20.02,Chemical
Univar Inc,Illinois,UNVR,New York,474.8,3006.2,5905.1,1/04/2014,5.895,22,770,Chemical
Lantheus Holdings Inc,Massachusetts,LNTH,Nasdaq,64.2,350.9,250.3,24/06/2014,12.577,6,65.000004,Energy
Xactly Corp,California,XTLY,New York,0,21.5,54.5,19/05/2015,12.046,8,56.3,IT
Performance Food Group Co,Virginia,PFGC,New York,302.9,1245.4,3404.7,9/09/2014,6.582,19,275.5,Retail
TPI Composites Inc,Arizona,TPIC,Nasdaq,57.4,83.8,352.6,17/06/2016,4.87,11,68.75,Machinery
J Jill Inc,New Hampshire,JILL,New York,96.3,264.2,567.6,8/04/2016,10.261,13,151.666671,Retail
Catasys Inc,California,CATS,Nasdaq,-27.4,0,2.9,10/02/2017,10.667,4.8,15,Health
Bluegreen Vacations Corp,Florida,BXG,New York,197.2,571.8,1172.3,23/10/2017,7.446,14,90.981072,Finance
Saul Centers Inc,Maryland,BFS,New York,153.6,941.2,1422.5,16/01/2018,3.817,25,75,Finance
Mesa Air Group Inc,Arizona,MESA,Nasdaq,0,760.2,1389.6,15/06/2018,8.683,12,115.56,Transport
Informatica LLC,California,,New York,462.3,1837.4,4770.6,1/10/2021,5.817,29,841,IT
Kilroy Realty Corp,California,KRC,New York,27.9,270.4,128.3,5/11/1996,7.591,23,287.5,Finance
Midwest Banc Holdings Inc,Illinois,MBHI,Nasdaq,18.4,67.2,906.8,19/12/1997,9.108,15,16.5,Finance
GoDaddy Inc,Arizona,GDDY,New York,107.9,1044.3,3329.4,14/03/2014,8.077,20,460,IT
Virtu Financial Inc,New York,VIRT,Nasdaq,336.2,1369.5,4099.5,18/12/2013,9.815,19,314.113168,Finance
Jaguar Animal Health Inc,California,JAGX,Nasdaq,0,0,6.2,27/08/2014,23.484,7,20.02,Chemical
Moelis & Co,New York,MC,New York,0,0,349.1,22/10/2013,13.421,25,162.5,Finance
WL Ross Holding Corp,New York,WLRHU,Nasdaq,0,0,0.2,9/05/2014,4.578,10,435,Finance
SAGE Therapeutics Inc,Massachusetts,SAGE,Nasdaq,-22.2,0,51.7,17/06/2014,8.251,18,90,Chemical
