company,state,ticker,exchange,profit,debt,assets,ipo_date,ipo_fees,ipo_price,ipo_amount,industry
Color Kinetics Inc,Massachusetts,CLRK,Nasdaq,0.1,0,67,9/04/2004,11.313,10,40,Machinery
Salesforce.com Inc,California,CRM,New York,0,1,94.7,18/12/2003,10.162,11,110,IT
Holly Energy Partners LP,Texas,HEP,New York,0,25,154.7,15/03/2004,8.533,22.25,135.725,Oil
NetLogic Microsystems Inc,California,NETL,Nasdaq,0,0,39.1,16/04/2004,10.975,12,69.3,Machinery
Idenix Pharmaceuticals Inc,Massachusetts,IDIX,Nasdaq,0,0,76.8,15/12/2003,9.309,14,81.2,Chemical
Bucyrus International Inc,Wisconsin,BUCY,Nasdaq,36.1,98.8,345.5,8/04/2004,8.348,18,193.5,Machinery
Lumera Corp,Washington,LMRA,Nasdaq,0,0,39.8,19/05/2004,8.751,6.95,41.7,Chemical
NeuroMetrix Inc,Massachusetts,NURO,Nasdaq,0,0,18.4,13/05/2004,12.797,8,24,Health
Auxilium Pharmaceuticals Inc,Pennsylvania,AUXL,Nasdaq,0,0.3,35.3,21/04/2004,11.218,7.5,41.25,Chemical
MannKind Corp,California,MNKD,Nasdaq,0,0,112.2,30/04/2004,8.961,14,87.5,Chemical
EnerSys Inc,Pennsylvania,ENS,New York,0,362.6,1129.2,17/05/2004,10.2,12.5,156.25,Energy
Commercial Vehicle Group Inc,Ohio,CVGI,Nasdaq,0,71.3,210.8,21/05/2004,8.246,13,120.25,Machinery
BioMed Realty Trust Inc,California,BMR,New York,0,54.5,53.2,5/05/2004,7.864,15,405,Finance
WPT Enterprises Inc,California,WPTE,Nasdaq,0,0,2.5,15/04/2004,9.582,8,32,Media
Extra Space Storage Inc,Utah,EXR,New York,0,391.6,584.5,12/05/2004,8.041,12.5,252.5,Finance
Cohen & Steers Inc,New York,CNS,New York,0,1.7,44,30/03/2004,11.103,13,97.5,Finance
Google Inc,California,GOOG,Nasdaq,571.4,0.1,1328,29/04/2004,3.055,85,1666.42942,IT
StoneMor Partners LP,Pennsylvania,STON,Nasdaq,0,80,480.7,9/04/2004,17.947,20.5,75.3375,Services
PeopleSupport Inc,California,PSPT,Nasdaq,0,0,33.2,10/05/2004,12.968,7,47.727274,IT
Texas Roadhouse Inc,Kentucky,TXRH,Nasdaq,49.2,13.5,175.5,7/05/2004,7.818,17.5,159.39714,Restaurant
Thomas Properties Group Inc,California,TPGI,Nasdaq,0,295.9,330,16/04/2004,10.325,12,171.428568,Finance
Huron Consulting Group Inc,Illinois,HURN,Nasdaq,0,0,52.9,12/05/2004,11.151,15.5,77.5,Consulting
Sunstone Hotel Investors Inc,California,SHO,New York,96.9,667.5,1359.6,2/07/2004,7.511,17,358.7,Services
U-Store-It Trust,Ohio,YSI,New York,0,378.2,536.4,2/08/2004,7.989,16,400,Finance
Digital Realty Trust Inc,California,DLR,New York,0,503.8,822.2,2/08/2004,10.451,12,240,Finance
US Shipping Partners LP,New Jersey,,New York,0,98.1,253.5,12/08/2004,8.644,22.25,133.5,Transport
MarketAxess Holdings Inc,New York,MKTX,Nasdaq,17.6,0,72.3,11/02/2004,13.482,11,55,Finance
Copano Energy LLC,Texas,CPNO,Nasdaq,0,57,139.9,30/07/2004,7.783,20,100,Oil
Nalco Holding Co,Illinois,NLC,New York,373.3,3424.8,5828.1,26/08/2004,5.891,15,666.66666,Transport
Ormat Technologies Inc,Nevada,ORA,New York,85.2,517.6,774,20/07/2004,9.902,15,93.75,Energy
Specialty Underwriters Alliance Inc,Illinois,SUAI,Nasdaq,0,0,2.9,28/07/2004,8.203,9.5,120.65,Finance
Orange 21 Inc,California,ORNG,Nasdaq,3.5,0.2,26.4,15/09/2004,9.464,8.75,30.45,Retail
Comstock Homebuilding Cos Inc,Virginia,CHCI,Nasdaq,0,45.7,117.8,13/08/2004,10.72,16,63.36,Services
Spirit Finance Corp,Arizona,SFC,New York,0,178.4,527.8,19/10/2004,7.768,11,286.956527,Finance
Arbinet-thexchange Inc,Virginia,ARBX,Nasdaq,13.8,1.7,70.1,9/07/2004,8.521,17.5,114.3695875,IT
Warren Resources Inc,New York,WRES,Nasdaq,-0.6,32.4,154.8,25/08/2004,8.22,7.5,71.25,Oil
Celanese Corp,Texas,CE,New York,412,3300,7368,3/11/2004,5.375,16,800,Chemical
Education Realty Trust Inc,Tennessee,EDR,New York,8.7,288.2,88.9,24/09/2004,7.795,16,304,Finance
